記錄時間,環境溫度 (°C),氣象觀測時間,時間戳 (ms)
2026-06-27 06:08:04,25.5,2026-06-27 05:50:00,1782511684252
2026-06-27 06:18:04,25.4,2026-06-27 06:00:00,1782512284693
2026-06-27 06:28:05,25.4,2026-06-27 06:10:00,1782512885352
2026-06-27 06:38:04,25.4,2026-06-27 06:20:00,1782513484437
2026-06-27 06:48:04,25.3,2026-06-27 06:30:00,1782514084252
2026-06-27 06:58:04,25.3,2026-06-27 06:40:00,1782514684347
2026-06-27 07:08:04,25.3,2026-06-27 06:50:00,1782515284265
2026-06-27 07:18:05,25.3,2026-06-27 07:00:00,1782515885718
2026-06-27 07:28:04,25.0,2026-06-27 07:10:00,1782516484431
2026-06-27 07:38:05,24.9,2026-06-27 07:20:00,1782517085503
2026-06-27 07:48:04,25.0,2026-06-27 07:30:00,1782517684108
2026-06-27 07:58:04,25.0,2026-06-27 07:40:00,1782518284445
2026-06-27 08:08:04,25.1,2026-06-27 07:50:00,1782518884506
2026-06-27 08:18:04,25.2,2026-06-27 08:00:00,1782519484238
2026-06-27 08:28:04,25.1,2026-06-27 08:10:00,1782520084473
2026-06-27 08:38:04,25.0,2026-06-27 08:20:00,1782520684553
2026-06-27 08:48:05,24.8,2026-06-27 08:30:00,1782521285480
2026-06-27 08:58:04,24.7,2026-06-27 08:40:00,1782521884414
2026-06-27 09:08:04,24.7,2026-06-27 08:50:00,1782522484278
2026-06-27 09:18:04,24.7,2026-06-27 09:00:00,1782523084504
2026-06-27 09:28:05,24.6,2026-06-27 09:10:00,1782523685733
2026-06-27 09:38:04,24.6,2026-06-27 09:20:00,1782524284541
2026-06-27 09:48:04,24.5,2026-06-27 09:30:00,1782524884573
2026-06-27 09:58:04,24.5,2026-06-27 09:40:00,1782525484443
2026-06-27 10:08:05,24.5,2026-06-27 09:50:00,1782526085593
2026-06-27 10:18:05,24.5,2026-06-27 10:00:00,1782526685776
2026-06-27 10:28:04,24.5,2026-06-27 10:10:00,1782527284307
2026-06-27 10:38:04,24.6,2026-06-27 10:20:00,1782527884616
2026-06-27 10:48:04,24.6,2026-06-27 10:30:00,1782528484713
2026-06-27 10:58:04,24.6,2026-06-27 10:40:00,1782529084659
2026-06-27 11:08:04,24.6,2026-06-27 10:50:00,1782529684790
2026-06-27 11:18:04,24.7,2026-06-27 11:00:00,1782530284096
2026-06-27 11:28:05,24.8,2026-06-27 11:10:00,1782530885761
2026-06-27 11:38:04,24.9,2026-06-27 11:20:00,1782531484864
2026-06-27 11:48:04,25.1,2026-06-27 11:30:00,1782532084304
2026-06-27 11:58:04,25.1,2026-06-27 11:40:00,1782532684845
2026-06-27 12:08:04,25.4,2026-06-27 11:50:00,1782533284739
2026-06-27 12:18:04,25.8,2026-06-27 12:00:00,1782533884061
2026-06-27 12:28:04,25.9,2026-06-27 12:10:00,1782534484815
2026-06-27 12:38:04,25.9,2026-06-27 12:20:00,1782535084843
2026-06-27 12:48:05,25.9,2026-06-27 12:30:00,1782535685423
2026-06-27 12:58:05,26.1,2026-06-27 12:40:00,1782536285257
2026-06-27 13:08:04,26.0,2026-06-27 12:50:00,1782536884576
2026-06-27 13:18:04,26.1,2026-06-27 13:00:00,1782537484408
2026-06-27 13:28:05,26.4,2026-06-27 13:10:00,1782538085573
2026-06-27 13:38:04,26.5,2026-06-27 13:20:00,1782538684930
2026-06-27 13:48:04,26.6,2026-06-27 13:30:00,1782539284188
2026-06-27 13:58:04,26.8,2026-06-27 13:40:00,1782539884809
2026-06-27 14:08:04,27.5,2026-06-27 13:50:00,1782540484837
2026-06-27 14:18:04,28.0,2026-06-27 14:00:00,1782541084497
2026-06-27 14:28:06,28.2,2026-06-27 14:10:00,1782541686431
2026-06-27 14:38:04,28.4,2026-06-27 14:20:00,1782542284720
2026-06-27 14:48:04,28.8,2026-06-27 14:30:00,1782542884782
2026-06-27 14:58:04,29.2,2026-06-27 14:40:00,1782543484677
2026-06-27 15:08:04,29.0,2026-06-27 14:50:00,1782544084398
2026-06-27 15:18:05,28.9,2026-06-27 15:00:00,1782544685329
2026-06-27 15:28:05,28.8,2026-06-27 15:10:00,1782545285710
2026-06-27 15:38:04,28.7,2026-06-27 15:20:00,1782545884638
2026-06-27 15:48:04,28.7,2026-06-27 15:30:00,1782546484798
2026-06-27 15:58:04,28.4,2026-06-27 15:40:00,1782547084835
2026-06-27 16:08:04,28.0,2026-06-27 15:50:00,1782547684243
2026-06-27 16:18:05,27.4,2026-06-27 16:00:00,1782548285032
2026-06-27 16:28:04,26.9,2026-06-27 16:10:00,1782548884881
2026-06-27 16:38:05,26.8,2026-06-27 16:20:00,1782549485683
2026-06-27 16:48:04,26.8,2026-06-27 16:30:00,1782550084737
2026-06-27 16:58:05,26.8,2026-06-27 16:40:00,1782550685011
2026-06-27 17:08:05,26.8,2026-06-27 16:50:00,1782551285091
2026-06-27 17:18:04,26.8,2026-06-27 17:00:00,1782551884449
2026-06-27 17:28:05,26.7,2026-06-27 17:10:00,1782552485521
2026-06-27 17:38:06,26.6,2026-06-27 17:20:00,1782553086254
2026-06-27 17:48:05,26.5,2026-06-27 17:30:00,1782553685000
2026-06-27 17:58:04,26.5,2026-06-27 17:40:00,1782554284908
2026-06-27 18:08:04,26.4,2026-06-27 17:50:00,1782554884887
2026-06-27 18:18:06,26.4,2026-06-27 18:00:00,1782555486081
2026-06-27 18:28:04,26.4,2026-06-27 18:10:00,1782556084727
2026-06-27 18:38:05,26.3,2026-06-27 18:20:00,1782556685963
2026-06-27 18:48:04,26.2,2026-06-27 18:30:00,1782557284898
2026-06-27 18:58:05,26.1,2026-06-27 18:40:00,1782557885106
2026-06-27 19:08:04,26.1,2026-06-27 18:50:00,1782558484912
2026-06-27 19:18:04,26.0,2026-06-27 19:00:00,1782559084959
2026-06-27 19:28:05,26.0,2026-06-27 19:10:00,1782559685122
2026-06-27 19:38:05,25.9,2026-06-27 19:20:00,1782560285971
2026-06-27 19:48:04,26.0,2026-06-27 19:30:00,1782560884442
