通報時間,溫度設定 (°C),通報環境溫度 (°C),氣象觀測時間,警報狀態,通知狀態
2026-06-17 08:58:14,28.0,29.4,2026-06-17 08:40:00,高溫超標警報,Email & Teams 已發送
2026-06-17 19:58:14,28.0,27.8,2026-06-17 19:40:00,溫度回落正常,Email & Teams 已發送
2026-06-18 07:58:10,28.0,29.2,2026-06-18 07:40:00,高溫超標警報,Email & Teams 已發送
2026-06-18 19:58:12,28.0,27.9,2026-06-18 19:40:00,溫度回落正常,Email & Teams 已發送
2026-06-19 07:58:10,28.0,29.9,2026-06-19 07:40:00,高溫超標警報,Email & Teams 已發送
2026-06-19 19:58:12,28.0,27.9,2026-06-19 19:40:00,溫度回落正常,Email & Teams 已發送
2026-06-20 07:58:11,28.0,29.8,2026-06-20 07:40:00,高溫超標警報,Email & Teams 已發送
2026-06-20 19:58:11,28.0,27.5,2026-06-20 19:40:00,溫度回落正常,Email & Teams 已發送
2026-06-20 21:22:36,28.0,26.5,2026-06-20 21:00:00,正常 (未超標),發送失敗
2026-06-21 06:58:11,28.0,28.8,2026-06-21 06:40:00,高溫超標警報,Email & Teams 已發送
2026-06-21 19:58:11,28.0,27.5,2026-06-21 19:40:00,溫度回落正常,Email & Teams 已發送
2026-06-22 06:58:12,28.0,28.7,2026-06-22 06:40:00,高溫超標警報,Email & Teams 已發送
2026-06-22 19:58:13,28.0,27.4,2026-06-22 19:40:00,溫度回落正常,Email & Teams 已發送
2026-06-23 06:58:18,28.0,29.2,2026-06-23 06:40:00,高溫超標警報,Email & Teams 已發送
2026-06-23 20:58:13,28.0,27.6,2026-06-23 20:40:00,溫度回落正常,Email & Teams 已發送
2026-06-24 06:58:14,28.0,28.6,2026-06-24 06:40:00,高溫超標警報,Email & Teams 已發送
2026-06-24 23:58:15,28.0,27.8,2026-06-24 23:40:00,溫度回落正常,Email & Teams 已發送
2026-06-25 07:58:15,28.0,29.6,2026-06-25 07:40:00,高溫超標警報,Email & Teams 已發送
2026-06-25 15:58:13,28.0,27.2,2026-06-25 15:40:00,溫度回落正常,Email & Teams 已發送
2026-06-26 12:58:15,28.0,28.4,2026-06-26 12:40:00,高溫超標警報,Email & Teams 已發送
2026-06-26 13:58:17,28.0,27.3,2026-06-26 13:40:00,溫度回落正常,Email & Teams 已發送
2026-06-26 14:58:14,28.0,28.3,2026-06-26 14:40:00,高溫超標警報,Email & Teams 已發送
2026-06-26 15:58:16,28.0,27.5,2026-06-26 15:40:00,溫度回落正常,Email & Teams 已發送
2026-06-27 14:58:14,28.0,29.2,2026-06-27 14:40:00,高溫超標警報,Email & Teams 已發送
2026-06-27 16:58:15,28.0,26.8,2026-06-27 16:40:00,溫度回落正常,Email & Teams 已發送
2026-06-28 08:58:13,28.0,28.8,2026-06-28 08:40:00,高溫超標警報,Email & Teams 已發送
2026-06-28 21:58:13,28.0,27.8,2026-06-28 21:40:00,溫度回落正常,Email & Teams 已發送
2026-06-29 07:58:14,28.0,30.6,2026-06-29 07:40:00,高溫超標警報,Email & Teams 已發送
2026-06-29 20:58:15,28.0,27.5,2026-06-29 20:40:00,溫度回落正常,Email & Teams 已發送
2026-06-30 06:58:14,28.0,29.3,2026-06-30 06:40:00,高溫超標警報,Email & Teams 已發送
2026-06-30 16:16:14,28.0,31.2,2026-06-30 16:00:00,高溫持續中,發送失敗
2026-06-30 16:16:41,28.0,31.2,2026-06-30 16:00:00,高溫持續中,發送失敗
2026-06-30 19:31:23,28.0,29.1,2026-06-30 19:20:00,高溫持續中,發送失敗
2026-06-30 22:58:18,28.0,27.8,2026-06-30 22:40:00,溫度回落正常,Email & Teams 已發送
2026-07-01 06:58:15,28.0,29.6,2026-07-01 06:40:00,高溫超標警報,LINE & Email & Teams 已發送
2026-07-01 15:19:17,28.0,30.6,2026-07-01 15:00:00,高溫持續中,發送失敗
2026-07-02 00:58:12,28.0,28.0,2026-07-02 00:40:00,溫度回落正常,LINE & Email & Teams 已發送
2026-07-02 06:58:13,28.0,28.6,2026-07-02 06:40:00,高溫超標警報,LINE & Email & Teams 已發送
2026-07-02 23:58:17,28.0,27.8,2026-07-02 23:40:00,溫度回落正常,LINE & Email & Teams 已發送
2026-07-03 06:58:15,28.0,30.1,2026-07-03 06:40:00,高溫超標警報,LINE & Email & Teams 已發送
2026-07-03 22:58:14,28.0,27.7,2026-07-03 22:40:00,溫度回落正常,LINE & Email & Teams 已發送
2026-07-04 07:58:15,28.0,31.6,2026-07-04 07:40:00,高溫超標警報,LINE & Email & Teams 已發送
2026-07-04 23:58:13,28.0,27.9,2026-07-04 23:40:00,溫度回落正常,LINE & Email & Teams 已發送
