通報時間,溫度設定 (°C),通報環境溫度 (°C),氣象觀測時間,警報狀態,通知狀態
2026-06-12 12:37:09,28.0,26.6,2026-06-12 12:20:00,溫度回落正常,LINE & Email 已發送
2026-06-12 13:00:48,28.0,26.4,2026-06-12 12:50:00,溫度回落正常,LINE & Email 已發送
2026-06-12 13:58:08,28.0,26.8,2026-06-12 13:40:00,正常 (未超標),未發送 (重複或正常)
2026-06-12 14:58:09,28.0,28.2,2026-06-12 14:40:00,高溫超標警報,LINE & Email 已發送
2026-06-12 15:58:04,28.0,27.4,2026-06-12 15:40:00,溫度回落正常,LINE & Email 已發送
2026-06-12 15:58:10,28.0,27.4,2026-06-12 15:40:00,溫度回落正常,LINE & Email 已發送
2026-06-12 16:10:58,28.0,27.4,2026-06-12 16:00:00,溫度回落正常,LINE & Email 已發送
2026-06-12 16:48:11,28.0,27.1,2026-06-12 16:30:00,正常 (未超標),未發送 (重複或正常)
2026-06-12 17:48:11,28.0,27.1,2026-06-12 17:30:00,正常 (未超標),未發送 (重複或正常)
2026-06-12 18:48:12,28.0,26.7,2026-06-12 18:30:00,正常 (未超標),未發送 (重複或正常)
2026-06-12 19:48:10,28.0,26.3,2026-06-12 19:30:00,正常 (未超標),未發送 (重複或正常)
2026-06-12 20:48:12,28.0,26.2,2026-06-12 20:30:00,正常 (未超標),未發送 (重複或正常)
2026-06-12 21:48:13,28.0,26.0,2026-06-12 21:30:00,正常 (未超標),未發送 (重複或正常)
2026-06-12 22:48:12,28.0,26.0,2026-06-12 22:30:00,正常 (未超標),未發送 (重複或正常)
2026-06-12 23:48:11,28.0,26.1,2026-06-12 23:30:00,正常 (未超標),未發送 (重複或正常)
2026-06-13 07:08:09,28.0,25.8,2026-06-13 06:50:00,正常 (未超標),未發送 (重複或正常)
2026-06-13 08:08:09,28.0,27.9,2026-06-13 07:50:00,正常 (未超標),未發送 (重複或正常)
2026-06-13 09:08:11,28.0,28.5,2026-06-13 08:50:00,高溫超標警報,LINE & Email 已發送
2026-06-13 10:08:10,28.0,29.2,2026-06-13 09:50:00,高溫持續中,未發送 (重複或正常)
2026-06-13 11:08:12,28.0,29.7,2026-06-13 10:50:00,高溫持續中,未發送 (重複或正常)
2026-06-13 12:08:10,28.0,30.1,2026-06-13 11:50:00,高溫持續中,未發送 (重複或正常)
2026-06-13 13:08:13,28.0,29.7,2026-06-13 12:50:00,高溫持續中,未發送 (重複或正常)
2026-06-13 14:08:11,28.0,29.5,2026-06-13 13:50:00,高溫持續中,未發送 (重複或正常)
2026-06-13 15:08:08,28.0,29.3,2026-06-13 14:50:00,高溫持續中,未發送 (重複或正常)
2026-06-13 16:08:11,28.0,29.7,2026-06-13 15:50:00,高溫持續中,未發送 (重複或正常)
2026-06-13 17:08:10,28.0,28.8,2026-06-13 16:50:00,高溫持續中,未發送 (重複或正常)
2026-06-13 17:52:39,28.0,28.3,2026-06-13 17:40:00,高溫超標警報,Email & Teams 已發送
2026-06-13 17:58:10,28.0,28.3,2026-06-13 17:40:00,高溫持續中,未發送 (重複或正常)
2026-06-13 18:58:11,28.0,27.1,2026-06-13 18:40:00,溫度回落正常,Email & Teams 已發送
2026-06-13 19:58:10,28.0,26.7,2026-06-13 19:40:00,正常 (未超標),未發送 (重複或正常)
2026-06-13 20:58:11,28.0,26.6,2026-06-13 20:40:00,正常 (未超標),未發送 (重複或正常)
2026-06-13 21:58:12,28.0,26.4,2026-06-13 21:40:00,正常 (未超標),未發送 (重複或正常)
2026-06-13 22:58:09,28.0,26.2,2026-06-13 22:40:00,正常 (未超標),未發送 (重複或正常)
2026-06-13 23:58:10,28.0,25.8,2026-06-13 23:40:00,正常 (未超標),未發送 (重複或正常)
2026-06-14 07:08:11,28.0,26.3,2026-06-14 06:50:00,正常 (未超標),未發送 (重複或正常)
2026-06-14 08:08:10,28.0,27.2,2026-06-14 07:50:00,正常 (未超標),未發送 (重複或正常)
