記錄時間,環境溫度 (°C),氣象觀測時間,時間戳 (ms)
2026-06-29 06:08:04,26.0,2026-06-29 05:50:00,1782684484740
2026-06-29 06:18:04,26.2,2026-06-29 06:00:00,1782685084634
2026-06-29 06:28:04,26.4,2026-06-29 06:10:00,1782685684605
2026-06-29 06:38:04,26.6,2026-06-29 06:20:00,1782686284554
2026-06-29 06:48:04,26.8,2026-06-29 06:30:00,1782686884558
2026-06-29 06:58:04,27.1,2026-06-29 06:40:00,1782687484874
2026-06-29 07:08:04,27.3,2026-06-29 06:50:00,1782688084368
2026-06-29 07:18:05,27.7,2026-06-29 07:00:00,1782688685597
2026-06-29 07:28:04,28.0,2026-06-29 07:10:00,1782689284404
2026-06-29 07:38:04,28.6,2026-06-29 07:20:00,1782689884601
2026-06-29 07:48:05,29.6,2026-06-29 07:30:00,1782690485742
2026-06-29 07:58:05,30.6,2026-06-29 07:40:00,1782691085097
2026-06-29 08:08:06,31.1,2026-06-29 07:50:00,1782691686466
2026-06-29 08:18:06,31.3,2026-06-29 08:00:00,1782692286800
2026-06-29 08:28:04,31.5,2026-06-29 08:10:00,1782692884845
2026-06-29 08:38:05,31.3,2026-06-29 08:20:00,1782693485484
2026-06-29 08:48:04,31.2,2026-06-29 08:30:00,1782694084813
2026-06-29 08:58:05,31.4,2026-06-29 08:40:00,1782694685514
2026-06-29 09:08:09,31.2,2026-06-29 08:50:00,1782695289288
2026-06-29 09:18:05,31.2,2026-06-29 09:00:00,1782695885135
2026-06-29 09:28:06,31.3,2026-06-29 09:10:00,1782696486742
2026-06-29 09:38:04,31.5,2026-06-29 09:20:00,1782697084795
2026-06-29 09:48:05,31.5,2026-06-29 09:30:00,1782697685150
2026-06-29 09:58:04,31.4,2026-06-29 09:40:00,1782698284966
2026-06-29 10:08:05,31.3,2026-06-29 09:50:00,1782698885019
2026-06-29 10:18:04,31.6,2026-06-29 10:00:00,1782699484412
2026-06-29 10:28:06,31.7,2026-06-29 10:10:00,1782700086267
2026-06-29 10:38:04,31.9,2026-06-29 10:20:00,1782700684961
2026-06-29 10:48:05,32.1,2026-06-29 10:30:00,1782701285271
2026-06-29 10:58:04,32.1,2026-06-29 10:40:00,1782701884363
2026-06-29 11:08:05,32.4,2026-06-29 10:50:00,1782702485070
2026-06-29 11:18:04,32.5,2026-06-29 11:00:00,1782703084469
2026-06-29 11:28:05,32.5,2026-06-29 11:10:00,1782703685995
2026-06-29 11:38:04,32.1,2026-06-29 11:20:00,1782704284934
2026-06-29 11:48:05,32.2,2026-06-29 11:30:00,1782704885657
