記錄時間,環境溫度 (°C),氣象觀測時間,時間戳 (ms)
2026-06-30 19:38:04,29.1,2026-06-30 19:20:00,1782819484220
2026-06-30 19:48:04,29.0,2026-06-30 19:30:00,1782820084236
2026-06-30 19:58:04,28.9,2026-06-30 19:40:00,1782820684513
2026-06-30 20:08:04,28.9,2026-06-30 19:50:00,1782821284807
2026-06-30 20:18:04,28.8,2026-06-30 20:00:00,1782821884005
2026-06-30 20:28:08,28.7,2026-06-30 20:10:00,1782822488000
2026-06-30 20:38:05,28.7,2026-06-30 20:20:00,1782823085758
2026-06-30 20:48:04,28.7,2026-06-30 20:30:00,1782823684042
2026-06-30 20:58:04,28.6,2026-06-30 20:40:00,1782824284793
2026-06-30 21:08:04,28.4,2026-06-30 20:50:00,1782824884762
2026-06-30 21:18:04,28.3,2026-06-30 21:00:00,1782825484110
2026-06-30 21:28:04,28.4,2026-06-30 21:10:00,1782826084845
2026-06-30 21:38:05,28.3,2026-06-30 21:20:00,1782826685522
2026-06-30 21:48:04,28.3,2026-06-30 21:30:00,1782827284138
2026-06-30 21:58:04,28.2,2026-06-30 21:40:00,1782827884837
2026-06-30 22:08:04,28.2,2026-06-30 21:50:00,1782828484557
2026-06-30 22:18:05,28.1,2026-06-30 22:00:00,1782829085040
2026-06-30 22:28:04,28.0,2026-06-30 22:10:00,1782829684789
2026-06-30 22:38:04,27.9,2026-06-30 22:20:00,1782830284864
2026-06-30 22:48:05,27.9,2026-06-30 22:30:00,1782830885946
2026-06-30 22:58:05,27.8,2026-06-30 22:40:00,1782831485109
2026-06-30 23:08:04,27.8,2026-06-30 22:50:00,1782832084811
2026-06-30 23:18:04,27.9,2026-06-30 23:00:00,1782832684541
2026-06-30 23:28:10,27.8,2026-06-30 23:10:00,1782833290987
2026-06-30 23:38:04,27.8,2026-06-30 23:20:00,1782833884756
2026-06-30 23:48:05,27.8,2026-06-30 23:30:00,1782834485802
2026-06-30 23:58:04,27.8,2026-06-30 23:40:00,1782835084236
