通報時間,溫度設定 (°C),通報環境溫度 (°C),氣象觀測時間,警報狀態,通知狀態
2026-06-15 16:18:05,28.0,26.2,2026-06-15 16:00:00,正常 (未超標),即時觀測更新
2026-06-15 16:28:03,28.0,26.2,2026-06-15 16:10:00,正常 (未超標),即時觀測更新
2026-06-15 16:38:03,28.0,26.2,2026-06-15 16:20:00,正常 (未超標),即時觀測更新
2026-06-15 16:48:03,28.0,26.0,2026-06-15 16:30:00,正常 (未超標),即時觀測更新
2026-06-15 16:58:03,28.0,25.9,2026-06-15 16:40:00,正常 (未超標),即時觀測更新
2026-06-15 17:08:03,28.0,25.8,2026-06-15 16:50:00,正常 (未超標),即時觀測更新
2026-06-15 17:18:05,28.0,25.7,2026-06-15 17:00:00,正常 (未超標),即時觀測更新
2026-06-15 17:28:03,28.0,25.6,2026-06-15 17:10:00,正常 (未超標),即時觀測更新
2026-06-15 17:38:03,28.0,25.6,2026-06-15 17:20:00,正常 (未超標),即時觀測更新
2026-06-15 17:48:03,28.0,25.6,2026-06-15 17:30:00,正常 (未超標),即時觀測更新
2026-06-15 17:58:03,28.0,25.5,2026-06-15 17:40:00,正常 (未超標),即時觀測更新
2026-06-15 18:08:03,28.0,25.4,2026-06-15 17:50:00,正常 (未超標),即時觀測更新
2026-06-15 18:18:03,28.0,25.3,2026-06-15 18:00:00,正常 (未超標),即時觀測更新
2026-06-15 18:28:03,28.0,25.2,2026-06-15 18:10:00,正常 (未超標),即時觀測更新
2026-06-15 18:38:03,28.0,25.1,2026-06-15 18:20:00,正常 (未超標),即時觀測更新
2026-06-15 18:48:03,28.0,25.0,2026-06-15 18:30:00,正常 (未超標),即時觀測更新
2026-06-15 18:58:03,28.0,24.9,2026-06-15 18:40:00,正常 (未超標),即時觀測更新
2026-06-15 19:08:03,28.0,24.8,2026-06-15 18:50:00,正常 (未超標),即時觀測更新
2026-06-15 19:18:03,28.0,24.8,2026-06-15 19:00:00,正常 (未超標),即時觀測更新
2026-06-15 19:28:05,28.0,24.7,2026-06-15 19:10:00,正常 (未超標),即時觀測更新
2026-06-15 19:38:03,28.0,24.6,2026-06-15 19:20:00,正常 (未超標),即時觀測更新
2026-06-15 19:48:03,28.0,24.5,2026-06-15 19:30:00,正常 (未超標),即時觀測更新
